,SH,Category,Weight,Filling start,Alt filling start,Filling end,Pickup,Plate,Arrival,Unload,trip_id
0,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,13760kg,2020-12-30T17:48:00Z,,2020-12-30T19:38:00Z,2020-12-31T10:41:00Z,JJV-660,2020-12-31T12:59:00Z,2020-12-31T14:04:00Z,0.0
1,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,12096kg,2020-12-30T09:02:00Z,,2020-12-30T13:13:00Z,2020-12-31T10:42:00Z,JJV-660,2020-12-31T13:15:00Z,2020-12-31T14:04:00Z,0.0
2,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,13220kg,2020-12-31T08:10:00Z,,2020-12-31T12:34:00Z,2020-12-31T14:23:00Z,NLZ-735,2020-12-31T16:42:00Z,2020-12-31T17:24:00Z,1.0
3,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,16540kg,2020-12-31T07:49:00Z,,2020-12-31T12:34:00Z,2020-12-31T14:24:00Z,NLZ-735,2020-12-31T16:55:00Z,2020-12-31T17:24:00Z,1.0
4,HK Scan Rauma,Sekatuote siipikarja luokka 3,14640kg,2020-12-31T08:44:00Z,,2020-12-31T12:21:00Z,2020-12-31T16:13:00Z,JJV-660,2020-12-31T18:05:00Z,2020-12-31T19:05:00Z,2.0
5,HK Scan Rauma,Sekatuote siipikarja luokka 3,14360kg,2020-12-31T10:46:00Z,,2020-12-31T13:47:00Z,2020-12-31T16:14:00Z,JJV-660,2020-12-31T18:40:00Z,2020-12-31T19:04:00Z,2.0
6,HK Scan Rauma,"Varpaat, Siipikarja, Luokka 3",13120kg,2020-12-31T06:38:00Z,,2020-12-31T21:02:00Z,2020-12-31T21:22:00Z,JJV-660,2020-12-31T23:56:00Z,2021-01-01T01:16:00Z,3.0
7,HK Scan Rauma,Sekatuote siipikarja luokka 3,15680kg,2020-12-31T15:22:00Z,,2020-12-31T21:01:00Z,2020-12-31T21:25:00Z,JJV-660,2021-01-01T00:09:00Z,2021-01-01T01:16:00Z,3.0
8,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,13440kg,2020-12-31T16:14:00Z,,2020-12-31T17:49:00Z,2021-01-01T08:11:00Z,LOH-244,2021-01-01T10:43:00Z,2021-01-01T11:39:00Z,4.0
9,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,13660kg,2020-12-31T14:20:00Z,,2020-12-31T16:14:00Z,2021-01-01T08:14:00Z,UBI-130,2021-01-01T10:31:00Z,2021-01-01T11:41:00Z,5.0
